_id,latitude,longitude,intensity,__v
6581970d9807e32264eebdf0,26.9274367705,76.3451881647,0.6666666667,0
6581970e9807e32264eebdf3,26.8260953,75.7954738,0.8888888889,0
6581970e9807e32264eebdf6,27.55609,76.61235,0.8611111111,0
6581970e9807e32264eebdf9,26.49891,74.54443,0.75,0
6581970f9807e32264eebdfc,26.298938,73.011282,0.8333333333,0
6581970f9807e32264eebdff,23.9969207,73.7568527,0.6388888889,0
658197109807e32264eebe02,25.13677,72.67675,0.7222222222,0
658197109807e32264eebe05,27.72371,74.718,0.5555555556,0
658197119807e32264eebe08,26.9304439,77.2807263,0.8333333333,0
658197119807e32264eebe0b,25.732783,74.334844,0.7777777778,0
658197129807e32264eebe0e,25.445133,75.6382582,0.7222222222,0
658197129807e32264eebe11,27.5756361,74.6854752,0.9722222222,0
658197139807e32264eebe14,26.95325,74.76714,0.7222222222,0
658197139807e32264eebe17,25.319143,73.000571,0.6388888889,0
658197149807e32264eebe1a,24.8056,73.44295,0.6944444444,0
658197149807e32264eebe1d,27.180978,73.726523,0.6388888889,0
658197149807e32264eebe20,26.939256,75.828752,0.7777777778,0
658197159807e32264eebe23,25.9571,76.2215,0.6111111111,0
658197159807e32264eebe26,24.58179,73.68554,0.6666666667,0
658197169807e32264eebe29,25.5226363,73.4492251,0.6944444444,0
658197169807e32264eebe2c,26.8354273,75.6952165,0.7222222222,0
658197179807e32264eebe2f,27.2039476705,73.7230271237,1,0
658197179807e32264eebe32,24.5581012852,72.3925917119,0.5555555556,0
658197189807e32264eebe35,25.315507,75.732934,0.7222222222,0
658197189807e32264eebe38,29.61067,74.28636,0.5833333333,0
658197199807e32264eebe3b,25.06150833,72.43777667,0.7777777778,0
658197199807e32264eebe3e,24.56123033,72.4006586,0.6111111111,0
6581971a9807e32264eebe41,26.364086,75.927097,0.4722222222,0
6581971a9807e32264eebe44,26.916563,75.801378,0.8333333333,0
6581971b9807e32264eebe47,24.8112098461,74.0810465813,0.6388888889,0
6581971b9807e32264eebe4a,26.7110169,77.8472482,0.6944444444,0
6581971c9807e32264eebe4d,26.0723473,75.9914374,0.5555555556,0
6581971c9807e32264eebe50,26.87398,75.24108,0.8888888889,0
6581971d9807e32264eebe53,26.265541,73.033646,0.6388888889,0
6581971d9807e32264eebe56,26.902467,75.834593,0.6666666667,0
6581971d9807e32264eebe59,26.98092,75.6054033333,0.75,0
6581971e9807e32264eebe5c,27.4733697,77.3272506,0.5277777778,0
6581971e9807e32264eebe5f,24.05379,74.07782,0.8611111111,0
6581971f9807e32264eebe62,29.636781,74.314783,0.4722222222,0
6581971f9807e32264eebe65,26.09059,74.52432,0.6666666667,0
658197209807e32264eebe68,26.978251,75.774266,0.7777777778,0
658197219807e32264eebe6b,28.0117,73.35516,0.8888888889,0
658197219807e32264eebe6e,26.12361,74.697062,0.7222222222,0
658197229807e32264eebe71,25.8708,75.6028,0.6666666667,0
658197229807e32264eebe74,27.93224,72.51282,0.6111111111,0
658197239807e32264eebe77,29.2924263,74.5741666,0.6666666667,0
658197239807e32264eebe7a,26.9371,75.785339,0.6111111111,0
658197239807e32264eebe7d,25.146082,73.846375,0.9166666667,0
658197249807e32264eebe80,29.8327998212,73.7292576861,0.8333333333,0
658197249807e32264eebe83,26.949792,75.712954,0.5,0
658197259807e32264eebe86,26.4551909,74.6308517,0.7222222222,0
