_id,name,area,district,state,pincode,latitude,longitude,qr,population,latitudes,longitudes,__v
653927a0e0265e4af914beac,"Police Station, Subash Chowk Churu",Varacha Road,Churu,Rajasthan,,28.30255,74.95041,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247749/fwghkhqus4i7hjrtc1bw.png,0,,,
653927a0e0265e4af914bead,3STR Police Station,Dabhoda Road,Ganganagar,Rajasthan,,29.02064,73.06751,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247746/vwrcbvjrtreoyrpr1yjz.png,0,,,
653927a0e0265e4af914beae,Deputy Superintendent of Police Office,Uperkot Road,Sikar,Rajasthan,,27.73992,75.80798,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247744/zhobg5scxmacdbjkgt8j.png,0,,,
653927a0e0265e4af914beaf,Police Control Room,Surat Navsari Road,Ganganagar,Rajasthan,,29.931639,73.871444,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247748/bfld7v9qvbeumezzvfhd.png,0,,,
653927a0e0265e4af914beb0,Police Chowki Galiyakot,SH-28,Dungarpur,Rajasthan,,23.52901,74.01803,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247747/i75fe8ksvksvyxzzyhaz.png,0,,,
653927a0e0265e4af914beb1,Mandi Gate Police Chowki,Nh8,Jhunjhunun,Rajasthan,,27.85485,75.26825,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247751/twjyomgobuwwacupedrv.png,0,,,
653927a0e0265e4af914beb2,Police Station Shambhupura,Sarkhej Gandhinagar Highway,Chittaurgarh,Rajasthan,,24.75954,74.64115,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247746/pf1chvgzowzvhknro89h.png,0,,,
653927a0e0265e4af914beb3,Police Chowki Pratapgarh,Waghjipur Road,Pratapgarh,Rajasthan,,24.02996,74.77615,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247748/tbezfneceliqdmmai3pf.png,0,,,
653927a0e0265e4af914beb4,Police Station Tapukara,Kamrej Surat Road,Alwar,Rajasthan,,28.11204,76.83207,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247748/zi8d4kyholpmbvmcgrzf.png,0,,,
653927a0e0265e4af914beb5,Shiv Nagar Police Station,Mahatma Gandhi Road,Tonk,Rajasthan,,26.35266,75.94537,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247751/vx6fgrlzzefnmmlfzpn4.png,0,,,
653927a0e0265e4af914beb6,Police Station Office,Axis Bank,Tonk,Rajasthan,,26.35272,75.94541,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247746/lrdhdizpqqeet1ptcevk.png,0,,,
653927a0e0265e4af914beb7,"Police Head Quarters, Shahpura",Ambaji Road,Bhilwara,Rajasthan,,25.61023,74.90661,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247746/dryslsszor42jipivq5a.png,0,,,
653927a0e0265e4af914beb8,Police Station,Doctor Vikram Sarabhai Marg,Bhilwara,Rajasthan,,25.732783,74.334844,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247746/kec76tyf2eyfytarwrwe.png,0,,,
653927a0e0265e4af914beb9,Bhairavnath Seva Samiti Police Chowki,Naya Road,Bhilwara,Rajasthan,390001,25.52062,74.87617,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247745/o1ljgwtoupvfx1ihakpe.png,0,,,
653927a0e0265e4af914beba,Police Station Swaroopganj,Aurobindo Ghosh Road,Sirohi,Rajasthan,,24.64622,72.92214,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247748/timt4dipz4hjbeyh53bd.png,0,,,
653927a0e0265e4af914bebb,Police Chowki Richwa,Sukhnath Road,Jhalawar,Rajasthan,362001,24.46083,76.24865,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247745/y8jld1yvrbbpiu2yk0af.png,0,,,
653927a0e0265e4af914bebc,Enquiry Room Police Department,Station Road,Sawai Madhopur,Rajasthan,360311,26.05295,76.14752,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247748/kwyouoexpzybhvuwndzi.png,0,,,
653927a0e0265e4af914bebd,Police Station,Yamuna Mill Road,Bhilwara,Rajasthan,390017,25.732783,74.334844,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247746/w5lhwwtsprpdrwreiypu.png,0,,,
653927a0e0265e4af914bebe,Women Police Station,100 Feet Road,Rajsamand,Rajasthan,,25.06254,73.91221,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247746/yy3nub4d9uddxh3eke5z.png,0,,,
